57	58	2273
25	26	2236
389	386	1812
359	1985	358
2007	1487	483
473	2142	474
2244	1346	1349
1994	2404	2408
2408	2404	73
74	2408	73
2307	2407	74
74	2407	2408
2312	66	67
703	1971	1848
1486	380	1648
1350	2407	2307
1801	1076	1977
375	1801	1977
1995	2404	1994
2504	2659	902
295	387	1842
391	1971	390
391	392	1848
1848	1971	391
1441	1336	375
375	1977	376
376	1441	375
1612	1441	376
2014	354	1862
1409	1352	2252
2430	2229	1697
121	2229	2430
121	2430	120
120	2429	2254
2430	2429	120
9	2292	8
1	2	2422
2253	127	128
126	127	2227
1408	169	198
1530	404	1694
2254	2429	1410
1679	1524	399
1697	2229	1531
1527	1687	398
399	1525	1630
400	1679	399
399	1630	400
400	1630	1831
2263	1344	1631
1631	1344	2232
2232	2670	1631
634	2670	2232
106	2438	105
1499	2268	1500
2269	2268	1499
1633	1833	2669
2669	2270	1633
309	1752	1432
766	609	1875
1478	2438	1477
1631	2670	1832
776	1468	1984
1984	769	776
1827	769	1984
1627	778	1465
1125	1130	152
152	1124	1125
152	639	1277
164	1491	195
1518	171	1526
205	1526	171
1767	485	286
2023	2558	2112
2087	208	1958
1497	208	2112
1497	1313	1050
2112	1313	1497
1864	2021	641
1853	2018	484
486	1761	291
1383	1341	2281
1211	1779	1776
1624	297	1381
2371	2273	58
1382	2273	1458
2273	2371	1458
65	66	2366
2448	61	62
1619	454	453
302	1425	1426
302	1426	303
303	1426	1617
1824	1582	803
2286	1580	1579
42	2467	41
2376	2466	42
42	2466	2467
34	35	2299
2233	35	36
33	34	2398
2234	2467	1789
41	2467	2234
1556	496	341
1579	1580	2283
1806	573	1980
1980	274	1806
2221	2222	1173
1173	2222	573
573	1806	1173
215	2109	216
221	176	2221
221	252	2210
14	15	2290
2030	2292	2492
2492	2292	9
10	2492	9
2482	19	20
2480	999	600
1148	999	2480
2147	473	2143
2143	473	474
1006	762	1934
2583	2236	26
1346	2244	2243
2242	2244	1349
2312	67	2313
